iteration,field,status,severity,expected,actual,source_paths,note
1,Armadura-Escudo-Protecciones.5,sin_campo_template,low,,,,No existe widget con ese nombre en la plantilla PDF
1,Check-Contador-Habilidades-Combate.1.1,sin_campo_template,low,True,,resources.dados_suerte.current | resources.dados_suerte.max | resources.dados_suerte.pip_states[0] | resources.foco_tiempo.current | resources.foco_tiempo.max | resources.foco_tiempo.pip_states[0] | resources.hechiceria_experimental.current | resources.hechiceria_experimental.max | resources.hechiceria_experimental.pip_states[0] | resources.inspiracion_heroica.current | resources.inspiracion_heroica.max | resources.inspiracion_heroica.pip_states[0] | resources.pociones_rapidas.current | resources.pociones_rapidas.max | resources.pociones_rapidas.pip_states[0],No existe widget con ese nombre en la plantilla PDF
1,Check-Contador-Habilidades-Combate.1.2,sin_campo_template,low,True,,resources.dados_suerte.current | resources.dados_suerte.max | resources.dados_suerte.pip_states[1] | resources.foco_tiempo.current | resources.foco_tiempo.max | resources.foco_tiempo.pip_states[1] | resources.hechiceria_experimental.current | resources.hechiceria_experimental.max | resources.hechiceria_experimental.pip_states[1] | resources.inspiracion_heroica.current | resources.inspiracion_heroica.max | resources.inspiracion_heroica.pip_states[1] | resources.pociones_rapidas.current | resources.pociones_rapidas.max | resources.pociones_rapidas.pip_states[1],No existe widget con ese nombre en la plantilla PDF
1,Check-Contador-Habilidades-Combate.1.3,sin_campo_template,low,True,,resources.dados_suerte.current | resources.dados_suerte.max | resources.dados_suerte.pip_states[2] | resources.foco_tiempo.current | resources.foco_tiempo.max | resources.foco_tiempo.pip_states[2] | resources.hechiceria_experimental.current | resources.hechiceria_experimental.max | resources.hechiceria_experimental.pip_states[2] | resources.inspiracion_heroica.current | resources.inspiracion_heroica.max | resources.pociones_rapidas.current | resources.pociones_rapidas.max | resources.pociones_rapidas.pip_states[2],No existe widget con ese nombre en la plantilla PDF
1,Check-Contador-Habilidades-Combate.1.4,sin_campo_template,low,False,,resources.dados_suerte.current | resources.dados_suerte.max | resources.dados_suerte.pip_states[3] | resources.foco_tiempo.current | resources.foco_tiempo.max | resources.hechiceria_experimental.current | resources.hechiceria_experimental.max | resources.hechiceria_experimental.pip_states[3] | resources.inspiracion_heroica.current | resources.inspiracion_heroica.max | resources.pociones_rapidas.current | resources.pociones_rapidas.max,No existe widget con ese nombre en la plantilla PDF
1,Check-Contador-Habilidades-Combate.1.5,sin_campo_template,low,False,,resources.dados_suerte.current | resources.dados_suerte.max | resources.foco_tiempo.current | resources.foco_tiempo.max | resources.hechiceria_experimental.current | resources.hechiceria_experimental.max | resources.hechiceria_experimental.pip_states[4] | resources.inspiracion_heroica.current | resources.inspiracion_heroica.max | resources.pociones_rapidas.current | resources.pociones_rapidas.max,No existe widget con ese nombre en la plantilla PDF
1,Check-Contador-Habilidades-Combate.4.5,sin_campo_template,low,False,,resources.dados_suerte.current | resources.dados_suerte.max | resources.foco_tiempo.current | resources.foco_tiempo.max | resources.hechiceria_experimental.current | resources.hechiceria_experimental.max | resources.hechiceria_experimental.pip_states[4] | resources.inspiracion_heroica.current | resources.inspiracion_heroica.max | resources.pociones_rapidas.current | resources.pociones_rapidas.max,No existe widget con ese nombre en la plantilla PDF
1,Check-Contador-Habilidades-Combate.6.1,sin_campo_template,low,False,,resources.dados_suerte.current | resources.dados_suerte.max | resources.dados_suerte.pip_states[0] | resources.foco_tiempo.current | resources.foco_tiempo.max | resources.foco_tiempo.pip_states[0] | resources.hechiceria_experimental.current | resources.hechiceria_experimental.max | resources.hechiceria_experimental.pip_states[0] | resources.inspiracion_heroica.current | resources.inspiracion_heroica.max | resources.inspiracion_heroica.pip_states[0] | resources.pociones_rapidas.current | resources.pociones_rapidas.max | resources.pociones_rapidas.pip_states[0],No existe widget con ese nombre en la plantilla PDF
1,Check-Contador-Habilidades-Combate.6.2,sin_campo_template,low,False,,resources.dados_suerte.current | resources.dados_suerte.max | resources.dados_suerte.pip_states[1] | resources.foco_tiempo.current | resources.foco_tiempo.max | resources.foco_tiempo.pip_states[1] | resources.hechiceria_experimental.current | resources.hechiceria_experimental.max | resources.hechiceria_experimental.pip_states[1] | resources.inspiracion_heroica.current | resources.inspiracion_heroica.max | resources.inspiracion_heroica.pip_states[1] | resources.pociones_rapidas.current | resources.pociones_rapidas.max | resources.pociones_rapidas.pip_states[1],No existe widget con ese nombre en la plantilla PDF
1,Check-Contador-Habilidades-Combate.6.3,sin_campo_template,low,False,,resources.dados_suerte.current | resources.dados_suerte.max | resources.dados_suerte.pip_states[2] | resources.foco_tiempo.current | resources.foco_tiempo.max | resources.foco_tiempo.pip_states[2] | resources.hechiceria_experimental.current | resources.hechiceria_experimental.max | resources.hechiceria_experimental.pip_states[2] | resources.inspiracion_heroica.current | resources.inspiracion_heroica.max | resources.pociones_rapidas.current | resources.pociones_rapidas.max | resources.pociones_rapidas.pip_states[2],No existe widget con ese nombre en la plantilla PDF
